GISJOIN,YEAR,STATE,TRACTA,race_white,race_black,race_american_indian_eskimo_aleut,race_asian_pacific_islander,race_other,housing_occupied,housing_vacant,year_built_1989_to_1990,year_built_1985_to_1988,year_built_1980_to_1984,year_built_1970_to_1979,year_built_1960_to_1969,year_built_1950_to_1959,year_built_1940_to_1949,year_built_1939_or_earlier,total_above_poverty,total_below_poverty,total_poverty_determined,poverty_rate,total_housing_units,occupancy_rate,avg_home_value_1990,2019-23_value,home_value_ratio_2019_23_to_1990
G06000104033,1990,California,4033,229,113,0,1697,6,730,240,0,0,35,318,114,30,8,465,1595,450,2045,0.2200488997555012,970,0.7525773195876289,118944.44444444444,641200,5.390751985053713
G06000104033,1990,California,4033,229,113,0,1697,6,730,240,0,0,35,318,114,30,8,465,1595,450,2045,0.2200488997555012,970,0.7525773195876289,118944.44444444444,655900,5.514339093881365
G06000104034,1990,California,4034,1484,1386,41,688,134,2525,147,0,94,240,209,564,307,371,887,3242,489,3731,0.13106405789332617,2672,0.9449850299401198,0.0,900500,0.0
G06000104035,1990,California,4035,2478,2698,28,786,181,3539,314,6,63,234,800,1044,353,207,1146,5257,905,6162,0.146867900032457,3853,0.9185050609914353,159549.76303317535,1045000,6.549680677261251
G06000104035,1990,California,4035,2478,2698,28,786,181,3539,314,6,63,234,800,1044,353,207,1146,5257,905,6162,0.146867900032457,3853,0.9185050609914353,159549.76303317535,670000,4.199316797861281
G06000104036,1990,California,4036,2066,2192,28,519,62,2784,233,45,32,6,513,1211,563,161,486,4289,461,4750,0.09705263157894736,3017,0.9227709645343056,260726.95035460993,889800,3.4127657259435566
G06000104037,1990,California,4037,2385,1138,80,296,74,2593,264,46,27,138,318,707,307,179,1135,3480,416,3896,0.10677618069815195,2857,0.9075953797689884,225000.0,645700,2.8697777777777778
G06000104037,1990,California,4037,2385,1138,80,296,74,2593,264,46,27,138,318,707,307,179,1135,3480,416,3896,0.10677618069815195,2857,0.9075953797689884,225000.0,1004800,4.465777777777777
G06000104038,1990,California,4038,2379,614,17,470,33,1840,78,0,0,0,90,219,192,269,1148,3294,207,3501,0.05912596401028278,1918,0.959332638164755,288811.5631691649,1419400,4.914623169601483
G06000104039,1990,California,4039,2375,1168,0,249,84,2133,109,33,32,37,300,694,307,128,711,3468,388,3856,0.10062240663900415,2242,0.9513826940231935,239054.7263681592,592400,2.4780936524453696
G06000104040,1990,California,4040,1850,357,19,377,85,1680,75,3,89,34,335,483,246,99,466,2290,311,2601,0.11956939638600539,1755,0.9572649572649573,248651.07913669065,741300,2.981286075949367
G06000104041,1990,California,4041,4504,426,65,454,104,3411,159,0,9,247,829,496,339,246,1404,4861,488,5349,0.09123200598242662,3570,0.9554621848739496,227571.90265486727,1131400,4.971615506136833
G06000104041,1990,California,4041,4504,426,65,454,104,3411,159,0,9,247,829,496,339,246,1404,4861,488,5349,0.09123200598242662,3570,0.9554621848739496,227571.90265486727,705100,3.098361404787945
G06000104042,1990,California,4042,2658,35,0,157,12,1234,25,7,0,0,53,128,292,272,507,2759,83,2842,0.02920478536242083,1259,0.9801429706115965,346669.2789968652,1758200,5.071692551147281
